Class,rico:identifier,rico:hasRecordSetType,dcterms:title,dcterms:description,dcterms:dateInterv,dcterms:dateRaw,rico:hasCreatorRef,rico:hasCreatorNotRef,rico:hasReceiverRef,rico:hasReceiverNotRef,rico:hasPublisher,rico:isOrWasIncludedIn,rico:hasOrHadPhysicalLocation,crm:P44_has_condition,SOCIETES-DROP,INSTRUMENTS-DROP,DOC_ECRIT_DROP,rico:documents,dcterms:isVersionOf,rico:isDraftOf,rico:hasOrHadSubject,rico:hasDocumentaryFormType,rico:locationURI,rico:locationOS
rico:Record,F6.2.5/9,,,"Facture (1213 francs, voyage, +376,6 toilette + 328 enfants + 116,68 divers)",,1902-03-16,,,,,,F6.2.5,,,,,,,,,,,,
rico:RecordSet,F6.3,Dossier d'archives,,Factures de 1903,,,,,,,,F6,,,,,,,,,,,,
rico:RecordSet,F6.3.1,Sous-dossier d'archives,,Loyers,,,,,,,,F6.3,,,,,,,,,,,,
rico:RecordSet,F6.3.2,Sous-dossier d'archives,,Santé,,,,,,,,F6.3,,,,,,,,,,,,
rico:RecordSet,F6.3.3,Sous-dossier d'archives,,Comptes,,,,,,,,F6.3,,,,,,,,,,,,
rico:RecordSet,F6.3.4,Sous-dossier d'archives,,Transports,,,,,,,,F6.3,,,,,,,,,,,,
rico:RecordSet,F6.3.5,Sous-dossier d'archives,,"Arts, lettres, instrumentation",,,,,,,,F6.3,,,,,,,,,,,,
rico:RecordSet,F6.3.6,Sous-dossier d'archives,,Impôts,,,,,,,,F6.3,,,,,,,,,,,,
rico:RecordSet,F6.3.7,Sous-dossier d'archives,,"Bourse, banques",,,,,,,,F6.3,,,,,,,,,,,,
rico:RecordSet,F6.3.8,Sous-dossier d'archives,,"Entreprises, sociétés",,,,,,,,F6.3,,,,,,,,,,,,
rico:RecordSet,F6.3.9,Sous-dossier d'archives,,Ménage,,,,,,,,F6.3,,,,,,,,,,,,
rico:RecordSet,F6.4,Dossier d'archives,,Factures de 1904 (1),,,,,,,,F6,,,,,,,,,,,,
rico:RecordSet,F6.4.1,Sous-dossier d'archives,,Impôts,,,,,,,,F6.4,,,,,,,,,,,,
rico:RecordSet,F6.4.2,Sous-dossier d'archives,,Loyers,,,,,,,,F6.4,,,,,,,,,,,,
rico:RecordSet,F6.4.3,Sous-dossier d'archives,,"Entreprises, sociétés",,,,,,,,F6.4,,,,,,,,,,,,
rico:RecordSet,F6.4.4,Sous-dossier d'archives,,"Bourse, banques",,,,,,,,F6.4,,,,,,,,,,,,
rico:RecordSet,F6.4.5,Sous-dossier d'archives,,Santé,,,,,,,,F6.4,,,,,,,,,,,,
rico:RecordSet,F6.4.6,Sous-dossier d'archives,,Événements,,,,,,,,F6.4,,,,,,,,,,,,
rico:RecordSet,F6.4.7,Sous-dossier d'archives,,École,,,,,,,,F6.4,,,,,,,,,,,,
rico:RecordSet,F6.4.8,Sous-dossier d'archives,,Entretien,,,,,,,,F6.4,,,,,,,,,,,,
rico:RecordSet,F6.5,Dossier d'archives,,Factures de 1904 (2),,,,,,,,F6,,,,,,,,,,,,
rico:RecordSet,F6.5.1,Sous-dossier d'archives,,Ménage,,,,,,,,F6.5,,,,,,,,,,,,
rico:RecordSet,F6.5.2,Sous-dossier d'archives,,Comptes,,,,,,,,F6.5,,,,,,,,,,,,
rico:RecordSet,F6.5.3,Sous-dossier d'archives,,Transports,,,,,,,,F6.5,,,,,,,,,,,,
rico:RecordSet,F6.5.4,Sous-dossier d'archives,,Entretien,,,,,,,,F6.5,,,,,,,,,,,,
rico:RecordSet,F6.5.5,Sous-dossier d'archives,,"Arts, lettres, instrumentation",,,,,,,,F6.5,,,,,,,,,,,,
rico:RecordSet,F6.5.6,Sous-dossier d'archives,,Divers,,,,,,,,F6.5,,,,,,,,,,,,
rico:RecordSet,P1-PVF19,Sous-fonds d'archives,,Plaques de verre photographiques,1880/1920,,,,,,,,,,,,,,,,,,,
