dcterms:identifier,rico:hasOrHadPhysicalLocation,bibo:authorListOS,bibo:authorListURI,bibo:authorListTXT,dcterms:title,bibo:edition ,bibo:issue,dcterms:createdRAW,dcterms:createdINT,dcterms:format,bibo:editor,bibo:numVolumes,dcterms:description
BIB00650,"Bibliothèque scientifique en vitrine, travée 11, étagère 3",,http://ark.bnf.fr/ark:/12148/cb119027577 Louis Figuier,,La terre et les mers,,,1864,,,,,
BIB00651,"Bibliothèque scientifique en vitrine, travée 11, étagère 3",,,,The Hartford woven wire matress co,,,1880,,,,,
BIB00652,"Bibliothèque scientifique en vitrine, travée 11, étagère 3",,,Starke,Travels on the continent,,,1820,,,,,
BIB00653,"Bibliothèque scientifique en vitrine, travée 11, étagère 3",,,,,,,1860,,,,,
BIB00654,"Bibliothèque scientifique en vitrine, travée 11, étagère 3",,http://ark.bnf.fr/ark:/12148/cb166238053 Both Tauzia,,Peinture Italie Espagne,,,1878,,,,,
BIB00655,"Bibliothèque scientifique en vitrine, travée 11, étagère 3",,,Sohr,Eisenbahnkarte von Europa,,,,,,,,
BIB00656,"Bibliothèque scientifique en vitrine, travée 11, étagère 3",,,,Ricordi di Torino,,,,,,,,
BIB00657,"Bibliothèque scientifique en vitrine, travée 11, étagère 3",,http://ark.bnf.fr/ark:/12148/cb13602167n Marlioz,,Aix-les-Bains et ses environs,,,,,,,,
BIB00658,"Bibliothèque scientifique en vitrine, travée 11, étagère 3",,,Laissus,La Tarentèse,,,1804,,,,,
BIB00659,"Bibliothèque scientifique en vitrine, travée 11, étagère 3",,,Leroy Baulieu,L'Algérie et la Tunisie,,,1887,,,,,
BIB00660,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,Bettigni,Guide de Florence et de ses environs,,,1872,,,,,
BIB00661,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,,Nouveau plan de scavi di pompei,,,,,,,,
BIB00662,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,,Rome en 1868...,,,1868,,,,,
BIB00663,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,,Guide de Pompéi,,,1869,,,,,
BIB00664,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,,La galerie des tableaux au Vatican,,,1866,,,,,
BIB00665,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,Fiorrelli,Guide de Pompéi,,,,,,,2 volumes,
BIB00666,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,Manule Léon Worl,Guide de Naples et de ses environs,,,,,,,,
BIB00667,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,,Pianta di Milano,,,,,,,,
BIB00668,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,,guide officiel des passagers sur toutes les mers,,,1896,,,,,
BIB00669,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,,"Saint-Malo, Dinard...Guide Joanne",,,,,,,,
BIB00670,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,,Vues panoramiques du mont Jovet,,,,,,,,
BIB00671,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,Arnollet,Nos Alpes...,,,1895,,,,,
BIB00672,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,,Uriage,,,1895,,,,,
BIB00673,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,,Guide du baigneur et de touristes d'Uriage,,,1885,,,,,
BIB00674,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,,Carte de la frontière des Alpes,,,,,,,,
BIB00675,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,E. Wallon,Panorama des Pyrénées centrales,,,,,,,,
BIB00676,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,,"Guide diamant, Pyrénées",,,,,,,,
BIB00677,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,,Carte de Chambéry,,,,,,,,
BIB00678,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,,Plan de l'exposition universelle de 1867,,,,,,,,
BIB00679,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,http://ark.bnf.fr/ark:/12148/cb154688316 Émile Isambert,Chauvet,Orient Palestine,,,,,,,,
BIB00680,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,,Guide diamant : Biarritz,,,,,,,,
BIB00681,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,,Guide de Cauterets,,,1886,,,,,
BIB00682,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,,La Savoie Pittoresque,,,,,,,,
BIB00683,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,http://ark.bnf.fr/ark:/12148/cb121710249 Ferdinand de Lanoye,,Le Niger de l'Afrique centrale,,,1858,,,,,
BIB00684,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,Gilbert,Afrique inconnue,,,1878,,,,,
BIB00685,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,Raffenel,Nouveaux voyages au pays des Nègres,,,1856,,,,2 volumes,Demi-chagrin
BIB00686,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,Stanley,A travers le continent mystérieux,,,1872,,,,2 volumes,Demi-toile
BIB00687,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,Stanley,Dans les ténèbres de l'Afrique,,,1890,,,,2 volumes,Demi-toile
BIB00688,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,http://ark.bnf.fr/ark:/12148/cb13013641r Pierre Trémaux,,Egypte et Ethiopie,,,,,,,,
BIB00689,"Bibliothèque scientifique en vitrine, travée 11, étagère 4",,,White Baker,Découverte de l'Albert N'Nyanza. Nouvelles explorations aux sources du Nil,,,1868,,,,1 volume,Demi-chagrin
BIB00690,"Bibliothèque scientifique en vitrine, travée 11",,,Dumont-Durville,Voyage en Asie et en Afrique,,,1859,,,,1 volume,Demi-chagrin
BIB00691,"Bibliothèque scientifique en vitrine, travée 11, étagère 5",,,,Ricordo di Loreto,,,,,,,,
BIB00692,"Bibliothèque scientifique en vitrine, travée 11, étagère 5",,,,Carte...expéditions militaires...Extrême Orient,,,,,,,,
BIB00693,"Bibliothèque scientifique en vitrine, travée 11, étagère 5",,,,Guide Baebeker. Italie centrale,,,1897,,,,,
BIB00694,"Bibliothèque scientifique en vitrine, travée 11, étagère 5",,,,Vienne,,,1867,,,,,
BIB00695,"Bibliothèque scientifique en vitrine, travée 11, étagère 5",,,,Guide Baebeker. Italie septentrionale,,,1865,,,,,
BIB00696,"Bibliothèque scientifique en vitrine, travée 11, étagère 5",,,Carte Campbell,Vosge,,,,,,,,
BIB00697,"Bibliothèque scientifique en vitrine, travée 11, étagère 5",,,,Le trésor de Laveyron,,,1880,,,,,
BIB00698,"Bibliothèque scientifique en vitrine, travée 11, étagère 5",,,,Brides-les-Bains,,,,,,,2 volumes,
BIB00699,"Bibliothèque scientifique en vitrine, travée 11, étagère 5",,,Niepce,Lers eaux d'Alvard,,,1880,,,,,
BIB00700,"Bibliothèque scientifique en vitrine, travée 11, étagère 5",,,Oppermann,L'agenda,,,,,,,,
BIB00701,"Bibliothèque scientifique en vitrine, travée 11, étagère 5",,http://ark.bnf.fr/ark:/12148/cb10323522h Nibby,Vasi,Rome et ses environs,,,1865,,,,,
BIB00702,"Bibliothèque scientifique en vitrine, travée 11, étagère 5",,,James,Guide pratique aux eaux minérales...,,,,,,,,
BIB00703,"Bibliothèque scientifique en vitrine, travée 11, étagère 5",,,Saint-Non,Voyage pittoresque à Naples et en Sicile,,,1829,,,,4 volumes,Demi-chagrin
BIB00704,"Bibliothèque scientifique en vitrine, travée 11, étagère 5",,,Feer,Les ruines de Ninive,,,1864,,,,1 volume,Demi-chagrin
BIB00705,"Bibliothèque scientifique en vitrine, travée 11, étagère 5",,http://ark.bnf.fr/ark:/12148/cb14952534g Ernest Breton,,Pompéia,,,1855,,,,1 volume,Demi-chagrin
BIB00706,"Bibliothèque scientifique en vitrine, travée 11, étagère 5",,,Barré;Roux,Herculanum et Pompéi : Recueil général des peintures,,,1840,,,,7 volumes,
BIB00707,"Bibliothèque scientifique en vitrine, travée 11, étagère 6",,,,Le rire,,,,,,,29 volumes,
BIB00708,"Bibliothèque scientifique en vitrine, travée 12, étagère 1",,,,Annales de mathématiques pures et appliquées,,,,1811/1816,,,5 volumes,Broché
BIB00709,"Bibliothèque scientifique en vitrine, travée 12, étagère 1",,,,Éléments d'artillerie,,,,,,,,
BIB00710,"Bibliothèque scientifique en vitrine, travée 12, étagère 1",,,,Annales de chimie,,,,1789/1792,,,18 volumes,
BIB00711,"Bibliothèque scientifique en vitrine, travée 12, étagère 2",,,Jean-Claude de La Métherie;Ducrotey,Journal de physique,,,,1807/1823,,,21 volumes,
BIB00712,"Bibliothèque scientifique en vitrine, travée 12, étagère 3",,,Jean-Claude de La Métherie;Ducrotey,Journal de physique,,,,1807/1823,,,20 volumes,
BIB00713,"Bibliothèque scientifique en vitrine, travée 12, étagère 3",,,Rozier,Observations sur la physique,,,,1773/1781,,,8 volumes,Broché
BIB00714,"Bibliothèque scientifique en vitrine, travée 12, étagère 3",,,,Histoire de l'Académie Royale des Sciences pour l'année 1770,,,,,,,1 volume,Pleine basane
BIB00715,"Bibliothèque scientifique en vitrine, travée 12, étagère 3",,,,Journal de l'École polytechnique,,,,1795/1796,,,1 volume,Pleine basane
BIB00716,"Bibliothèque scientifique en vitrine, travée 12, étagère 4",,,,Société royale des sciences de Montpellier : Recueil de comptes-rendus entre 1706 et 1743,,,,,,,2 volumes,Pleine basane
BIB00717,"Bibliothèque scientifique en vitrine, travée 12, étagère 4",,,,Notices des travaux de l'Académie du Gard,,,,1807/1811,,,5 volumes,Broché
BIB00718,"Bibliothèque scientifique en vitrine, travée 12, étagère 4",,,,Précis analytique des travaux de l'Académie Royale de Rouen,,,,1744/1821,,,6 volumes,
BIB00719,"Bibliothèque scientifique en vitrine, travée 12, étagère 4",,,,Mémoires sur les antiquité nationales,,,1829,,,,1 volume,Broché
BIB00720,"Bibliothèque scientifique en vitrine, travée 12, étagère 4",,,Du Hamel,Regiae scient/arum academiae historia,,,1701,,,,1 volume,Broché
BIB00721,"Bibliothèque scientifique en vitrine, travée 12, étagère 4",,,,Histoire de la Société royale des sciences établie à Montpellier,,,,1766/1778,,,2 volumes,Broché
BIB00722,"Bibliothèque scientifique en vitrine, travée 12, étagère 4",,,,Recueil de mémoires ou collection de pièces académiques,,,,1754/1774,,,5 volumes,Broché
BIB00723,"Bibliothèque scientifique en vitrine, travée 12, étagère 5",,,,Collection académique composée de mémoires de sociétés étrangères,,tome 1 à 13,,1755/1789,,,13 volumes,Broché
BIB00724,"Bibliothèque scientifique en vitrine, travée 12, étagère 5",,,,Collection académique composées de mémoires... de sociétés étrangères,,tome 1 à 3,1755,,,,3 volumes,Plein basane
BIB00725,"Bibliothèque scientifique en vitrine, travée 12, étagère 6",,,,"Revue des cours scientifiques, puis Revue scientifique",,,,1863/1882,,,33 volumes,Demi-chagrin
BIB00726,"Bibliothèque scientifique en vitrine, travée 13, étagère de 1 à 6",,,Académie des Sciences,Comptes-rendus des séances de l’Académie des Sciences,,,,1835/1872,,,76 volumes,Demi-basane
BIB00727,"Bibliothèque scientifique en vitrine, travée 14, étagère de 1 à 6",,,,Revue des Deux Mondes,,,,1866/1903,,,207 volumes,Demi-chagrin
BIB00728,"Ilot central de la bibliothèque scientifique, travée 17, étagère 1",,,,"Description de l'Egypte, ou Recueil des observations et des recherches qui ont été faites en Egypte pendant l'expédition de l'armée française publié par ordre de sa Majesté l'Empereur Napoléon",,,,1809/1822,,,23 volumes,Pleine toile
BIB00729,"Ilot central de la bibliothèque scientifique, travée 17, étagère 1",,,Jean-François Champollion (dit Le Jeune),Monuments de l'Egypte et de la Nubie d'après les dessins exécutés sur les lieux,,,1835,,,,2 volumes de planches et 1 volume de texte,Demi-maroquin
BIB00730,"Ilot central de la bibliothèque scientifique, travée 17, étagère 1",,,Prisse D'avenne,Monuments égyptiens,,,1847,,,,1 volume,Demi-maroquin
BIB00731,"Ilot central de la bibliothèque scientifique, travée 17, étagère 1",,,François-Chrétien Gau,Antiquités de la Nubie ou Monuments inédits au,,,,,,,,
BIB00732,"Ilot central de la bibliothèque scientifique, travée 17, étagère 1",,,A. Beato;W. Hammerschmidt;Justin Kozlouski,"Album de photographies de l'Egypte, 55 clichés de Justin KOZLOUSKI",,,,,,,,
BIB00733,"Ilot central de la bibliothèque scientifique, travée 16, étagère 1",,http://ark.bnf.fr/ark:/12148/cb11076597s Mazois,,Les Ruines de Pompéi,,,1824,,,,2 volumes,
BIB00734,"Ilot central de la bibliothèque scientifique, travée 16, étagère 1",,,Pacho,Voyage dans la Marmarique et la Cyrenaïque,,,,,,,,
BIB00735,"Ilot central de la bibliothèque scientifique, travée 16, étagère 1",,,Delagardette,Les Ruines de Paestum ou Possidonia,,,,1798/1799,,,,
BIB00736,"Ilot central de la bibliothèque scientifique, travée 16, étagère 1",,,Texier,Description de l'Asie Mineure,,,1839,,,,1 volume,
BIB00737,"Ilot central de la bibliothèque scientifique, travée 16, étagère 1",,,De Vaugond,Atlas pour l'Instruction de la Jeunesse,,,,,,,,
BIB00738,"Ilot central de la bibliothèque scientifique, travée 16, étagère 1",,,Canina,Gli Edifizj di Roma Antica,,,1848,,,,6 volumes,
BIB00739,"Ilot central de la bibliothèque scientifique, travée 16, étagère 1",,,Pistolesi,Il Vaticano Ilustrato,,,1829,,,,7 volumes,
BIB00740,"Ilot central de la bibliothèque scientifique, travée 15, étagère 1",,,Feuchere,Plans d'architecture. L'art industriel,,,,,,,1 volume,
BIB00741,"Ilot central de la bibliothèque scientifique, travée 15, étagère 1",,http://ark.bnf.fr/ark:/12148/cb11964230j Jacques Ignace Hittorff,,Les antiquités de l'Attique,,,1832,,,,,
BIB00742,"Ilot central de la bibliothèque scientifique, travée 15, étagère 1",,http://ark.bnf.fr/ark:/12148/cb11994085w Alexandre de Laborde,,Voyage pittoresque et historique de l'Espagne,,,1860,,,,4 volumes,
BIB00743,"Ilot central de la bibliothèque scientifique, travée 15, étagère 1",,http://ark.bnf.fr/ark:/12148/cb11994085w Alexandre de Laborde,,Voyage pittoresque et historique de l'Espagne,,,1860,,,,4 volumes,
BIB00744,"Ilot central de la bibliothèque scientifique, travée 15, étagère 1",,http://ark.bnf.fr/ark:/12148/cb121702280 Alexandre de Laborde,,Voyage pittoresque et historique de l'Espagne,,,1860,,,,4 volumes,
BIB00745,"Ilot central de la bibliothèque scientifique, travée 15, étagère 1",,,,Ornements et arabesques,,,,,,,1 volume,
BIB00746,"Ilot central de la bibliothèque scientifique, travée 15, étagère 1",,http://ark.bnf.fr/ark:/12148/cb14970971q Frédéric Cailliaud,,Voyage à l'oasis de Thèbes,,,1821,,,,,
BIB00747,"Ilot central de la bibliothèque scientifique, travée 15, étagère 1",,,Wood,Ruins of Balbec,,,1857,,,,,
BIB00748,"Ilot central de la bibliothèque scientifique, travée 15, étagère 1",,,,Voyage en Syrie,,,,,,,4 volumes,
BIB00749,"Ilot central de la bibliothèque scientifique, travée 15, étagère 1",,,Horeau,Panorama d'Egypte et de Nubie,,,1841,,,,,
BIB00750,"Ilot central de la bibliothèque scientifique, travée 15, étagère 1",,,Léon de Laborde;Alexandre de Laborde,Voyage de la Syrie,,,1837,,,,,
BIB00751,"Ilot central de la bibliothèque scientifique, travée 15, étagère 1",,,Léon de Laborde;Alexandre de Laborde,Voyage en Orient,,,1838,,,,,
BIB00752,"Ilot central de la bibliothèque scientifique, travée 15, étagère 1",,,Blouet,Expédition scientifique de Morée,,,1831,,,,3 volumes,
BIB00753,"Ilot central de la bibliothèque scientifique, travée 15, étagère 1",,,Texier,"Description de l'Arménie, la Perse et la Mésopotamie",,,1842,,,,,
BIB00754,"Ilot central de la bibliothèque scientifique, travée 15, étagère 1",,,Imbard,Vues d'Annonay,,,,,,,1 volume,
BIB00755,"Ilot central de la bibliothèque scientifique, travée 15, étagère 1",,,Bergerat,Les chefs d'œuvre de l'exposition universelle,,,1878,,,,2 volumes,
BIB00756,"Ilot central de la bibliothèque scientifique, travée 15, étagère 1",,,Chasse,,,,,,,,,
BIB00757,"Ilot central de la bibliothèque scientifique, travée 15, étagère 1",,,Valadier,Raccolta delle piu fabbriche di Roma Antica,,,1810,,,,1 volume,
BIB00758,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,Gaussens,Portefeuille archéologique de la Champagne,,,1861,,,,1 volume,Demi-toile
BIB00759,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,http://ark.bnf.fr/ark:/12148/cb120615996 Jean-Benjamin de La Borde,,Béat-Fidèle-Antoine-Jean-Dominique baron de La Tour-Chatillon de ZURLABEN,,,,1780/1781,,,2 volumes,Demi-maroquin
BIB00760,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,Guilhermy,La Sainte chapelle de Paris,,,1857,,,,1 volume,Demi-toile
BIB00761,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,http://ark.bnf.fr/ark:/12148/cb14970971q Frédéric Cailliaud,,Voyage à Même,,,1823,,,,1 volume,Pleine toile
BIB00762,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,,Atlas ... des deux Amériques,,,1825,,,,,Demi-veau
BIB00763,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,Flameng,Pans qui s'en va,,,,,,,1 volume,Demi-basane
BIB00764,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,Roebling,Long and short Span Railway Bridges,,,1869,,,,1 volume,Plein chagrin
BIB00765,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,http://ark.bnf.fr/ark:/12148/cb14956585b Pierre Bouillon,,Musée des Antiques,,,,,,,3 volumes,Demi-chagrin
BIB00766,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,http://ark.bnf.fr/ark:/12148/cb145612447 Claude Buy de Mornas,,Atlas historique et géographique,,,1762,,,,1 volume,Demi-basane
BIB00767,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,,ATLAS du COSMOS,,,1867,,,,,
BIB00768,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,Ferdinant Hayden;Thomas Moran,The Yellowstone National Park,,,1876,,,,,
BIB00769,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,Vivien,Atlas Universel,,,1827,,,,,
BIB00770,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,Saint-Non,Voyage pittoresque à Naples et en Sicile,,,1836,,,,2 volumes,Demi-veau
BIB00771,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,E. de Limagne,Le touriste au salon,,,,,,,1 volume,Cartonné
BIB00772,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,Salluste,Catilinaria et Jugurtina bella,,,1819,,,,1 volume,Demi-maroquin
BIB00773,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,Félix Ansart,Atlas historique,,,1845,,,,1 volume,Demi-basane
BIB00774,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,http://ark.bnf.fr/ark:/12148/cb11905697x Stanislas-Victor Grangent,,Description des monuments antiques...,,,1819,,,,1 volume,Demi-toile
BIB00775,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,http://ark.bnf.fr/ark:/12148/cb15281090w Auguste-Henri Dufour,,Atlas universel physique,,,1860,,,,1 volume,Demi-chagrin
BIB00776,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,Ch. Dien,Atlas céleste contenant plus de 100 000 étoiles,,,1865,,,,1 volume,Pleine toile
BIB00777,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,Richard Dalton,Antiquities in Graece and Egypt,,,1791,,,,1 volume,Demi-basane
BIB00778,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,,Agli amatori délie Belle Arti e délie Antichità,,,,,,,,
BIB00779,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,,Le Monde illustré,,tome XXXIII,1873,,,,1 volume,Pleine basane
BIB00780,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,Domenico Serradifalco;Duca di Lo Faso Pietrasanta,Le Antichità della Sicilia,,,1836,,,,1 volume,Cartonné
BIB00781,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,,Album des grandes journées de la Révolution,,,,,,,1 volume,Pleine toile
BIB00782,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,,A. Lesage,Atlas historique,,,,,,,,
BIB00783,"Ilot central de la bibliothèque scientifique, travée 18, étagère 1",,http://ark.bnf.fr/ark:/12148/cb12259585k Ennio Quirino Visconti,,Planches de l'iconographie grecque,,,1811,,,,1 volume,Pleine toile
BIB00784,"Ilot central de la bibliothèque scientifique, travée 19, étagère 1",,,Dolllfus;Geoffroy,"Histoire de la Locomotion Terrestre, L'Illustration",,,1935,,,,,
BIB00785,"Ilot central de la bibliothèque scientifique, travée 19, étagère 1",,http://ark.bnf.fr/ark:/12148/cb119031465 Charles Forot,,Annonay,,,1975,,,,,
BIB00786,"Ilot central de la bibliothèque scientifique, travée 19, étagère 1",,http://ark.bnf.fr/ark:/12148/cb10412613j Ravoisié Amable,,Exploration scientifique de l'Algérie,,,1846,,,,1 volume,Pleine toile
BIB00787,"Ilot central de la bibliothèque scientifique, travée 19, étagère 1",,http://ark.bnf.fr/ark:/12148/cb13013641r Pierre Trémaux,,Parallèle des édifices anciens et modernes du continent africain,,,,,,,1 volume,Pleine toile
BIB00788,"Ilot central de la bibliothèque scientifique, travée 19, étagère 1",,http://ark.bnf.fr/ark:/12148/cb13013641r Pierre Trémaux,,Voyage au Soudan oriental,,,,,,,1 volume,Pleine toile
BIB00789,"Ilot central de la bibliothèque scientifique, travée 19, étagère 1",,http://ark.bnf.fr/ark:/12148/cb121957985 Bellori,,Columna Cochlis M. Aurelio Antonino Augusto dicata a Petro Sancte Bartolo delineata,,,1704,,,,1 volume,Demi-veau
BIB00790,"Ilot central de la bibliothèque scientifique, travée 19, étagère 1",,http://ark.bnf.fr/ark:/12148/cb13164645k Alfonso Ciaccone,,Colonna traiana disegnata e intagliata da Pietro Santé BARTOLI,,,,,,,1 volume,Demi-veau
BIB00791,"Ilot central de la bibliothèque scientifique, travée 19, étagère 1",,,Pietro Righetti,Descrizione del Campidoglio,,,,1833/1836,,,2 volumes,Demi-basane
BIB00792,"Ilot central de la bibliothèque scientifique, travée 19, étagère 1",,,,Raccolta délie principal! vedute di Roma,,,,,,,1 volume,Demi-toile
BIB00793,"Ilot central de la bibliothèque scientifique, travée 19, étagère 1",,http://ark.bnf.fr/ark:/12148/cb10452233w Auguste Salzmann,,"Jérusalem, étude et reproductions photographiques des monuments de la Ville Sainte",,,,,,,1 volume,Demi-chagrin
BIB00794,"Ilot central de la bibliothèque scientifique, travée 19, étagère 1",,,Langlés Louis-Mathieu,Monuments anciens et modernes de l'/ndoustan,,,1821,,,,2 volumes,Pleine toile
BIB00795,"Ilot central de la bibliothèque scientifique, travée 19, étagère 1",,http://ark.bnf.fr/ark:/12148/cb15323766c William Gell,J.-P. Gandy,Vue des ruines de Pompéi,,,1827,,,,1 volume,Demi-veau
BIB00796,"Ilot central de la bibliothèque scientifique, travée 19, étagère 1",,,Joseph Seguin,Recueil de dessins ou feuilles de texte relatifs à l'art de l'ingénieur,,,,1821/1826,,,3 volumes,Demi-basane
BIB00797,"Ilot central de la bibliothèque scientifique, travée 19, étagère 1",,,,Recueil de lithographies relatives à la Suisse et à la Savoie,,,1860,,,,1 volume,Pleine toile
BIB00798,"Ilot central de la bibliothèque scientifique, travée 19, étagère 1",,,Texier,Description de l'Asie Mineure,,,1839,,,,3 parties en 6 volumes,Demi-chagrin
BIB00799,"Bibliothèque scientifique placards du bas, travée 3, étagère 8",,,,"Journal des chemins de fer, des mines et des travaux publics",,"1842 (recueil) : n°1 (mardi 25 janv.) à n°59 (samedi 31 déc.) ;
1843, 2e année (recueil) : n°40 (7 janv.) à n°91 (30 déc.) ;
1844, 3e année, vol. 3 : n°1 (6 janv.) à n°143 (28 déc., n°52)
1845, vol. 4 (recueil) : n°144 (4 janv., n°1) à 914 (20 déc., n°51) ;
1846, vol. 5 (recueil) : n°916 (3 janv., n°1) à n°267 (27 déc., n°52) ;
1847, 6e an. (recueil) : n°268 (2 janv., n°1) à n°319 (25 déc., n°52) ;
1848, 7e an. (recueil) : n°320 (1er janv., n°1) à 362 (30 déc., n°43) ;
1849, 8e an. (recueil) : n°363 (6 janv., n°1) à n°413 (29 déc., n°52) ;
1850, 9e an. (recueil) : n°414 (5 janv., n°1) à n°465 (28 déc., n°52) ;
1851, 10e an. (recueil) : n°466 (4 janv., n°1) à n°522 (27 déc., n°52)",,,In-4,"au bureau du Journal, rue Richelieu, 96, Paris",,
BIB00800,"Bibliothèque scientifique placards du bas, travée 5, étagère 8",,,A. Mazon,Notice sur l’astronome Flaugergues de Viviers,,,1896,,"In-4, 70p. Broché","imprimerie centrale de l’Ardèche, Privas",,
BIB00801,"Bibliothèque scientifique placards du bas, travée 5, étagère 8",,,Nelson,Motivisme universel ; découverte de la révolution solaire ; nouveau système du monde,,,1838,,"In-8, 52p. Broché","Bachelier, imprimeur-libraire, quai des Augustins, n°55, Paris",,
BIB00802,"Bibliothèque scientifique placards du bas, travée 5, étagère 8",,http://ark.bnf.fr/ark:/12148/cb15350821k Otto Torell,,Underdanig berättelse om en pa nådig befallning ar 1875 företagen undersökning af Malmfyndigheter inom gellivare och jukkasjärvi socknar af norbotens län femte bilagor och utdrag ue övriga hithörande handlingar afgifven af chefen för Sveriges Geologiska Undersökning,,,1877,,"In-fol, 156p. Broché","P.A. Norstedt & Söner, Kongt. Boktryckare, Stockholm",,"résumé en français, ex-libris manuscrit en garde : « Professor Thorell »"
BIB00803,"Bibliothèque scientifique placards du bas, travée 5, étagère 8",,,F. Tisserand,Bulletin astronomique,,"1884, tome 1 : janv.",,,In-4,"Gauthier-Villars, imprimeur-libraire de l’observatoire de Paris et du bureau des Longitudes, quai des Augustins, 55, Paris",,
BIB00804,"Bibliothèque scientifique placards du bas, travée 5, étagère 8",,,,Annuaire de la Société Météorologique de France. Revue mensuelle,,"1902, 50e année : janv., fév., mars, avril, mai, juillet, aout, déc. ; 
1903, 51e an. : fév., avril, juin, aout, 
1904, 52e année : janv., sept., oct., nov., déc. ;
1905, 53e an. : fév., mars, avril, mai, juin, aout, sept., oct., nov., déc. ;
un volume non daté",1848,,In-4,"au lieu des séances de la société, rue Serpente, 28 te chez Gauthier-Villars, libraire de la société, quai des Augustins, 55, Paris",,mensuel. vol. n.d. : note manuscrite en couv. : « offert par l’auteur G. Lemoine »
BIB00805,"Bibliothèque scientifique placards du bas, travée 5, étagère 8",,,,"Bulletin de la Société astronomique de France et revue mensuelle d’astronomie, de météorologie et de physique du globe",,"1902 : janv., fév., mars, avril, mai, juin, juillet, aout, sept., oct., nov., déc. ;
1903, 17e an. : janv., fév., mars, avril, mai, juin, juillet, aout, sept., oct., nov., déc. + (couv. seule) ;
1904 : janv., fév., mars, avril, mai, juin, juillet, sept., oct., nov., déc. ;
1905 : janv., fév., mars, avril, mai, juin, juillet, aout, sept., oct., nov., déc. ;
1906 : janv., fév., mars, avril, mai, juin, juillet, sept. ;
1908 : sept. ; 
2 ex. de table alphabétique des matières",,1902/1905,In-4,"au siège de la Société, hôtel des Sociétés savantes, 28 rue Serpente, Paris",,"mensuel
ex. de septembre 1906 : notes, relevés et dessins manuscrits en couv. (1 et 4e)"
