rico:hasOrHadPhysicalLocation,rico:isOrWasIncludedIn,dcterms:identifier,dcterms:title,rico:descriptiveNote,schema:fromLocationURI,schema:fromLocationTXT,dcterms:description,crm:P44_has_condition,curation:note,dcterms:dateSubmitted
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00357,Coquille,"""N° 92 Ostrea Cyatlorila Lamk (Versailles)""",https://sws.geonames.org/2969679/ Versailles,,Coquille ; Cyatlorila --> Cyathula ?,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00358,Oliva Hyatrila Lamk [spécimen manquant],"""N° 93 Oliva Hyatrila Lamk (Bordeaux)""",https://sws.geonames.org/3031582/ Bordeaux,,[spécimen manquant] ; 'hyatula' écrit aujourd'hui 'hiatula',,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00359,Coquille,"""N° 94 Cancellaria Olievitaixgula Faujas (Bordeaux)""",https://sws.geonames.org/3031582/ Bordeaux,,Coquille ; espèce non retrouvée,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00360,Fasciolaria Burdigalensis Basterol [spécimen manquant],"""N° 95 Fasciolaria Burdigalensis Basterol (Bordeaux)""",https://sws.geonames.org/3031582/ Bordeaux,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00361,Coquilles,"""N° 96 Buccinum Generis Faujas (Bordeaux)""",https://sws.geonames.org/3031582/ Bordeaux,,Deux spécimens (un étiqueté 96 et le second étiqueté 36),,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00362,Coquilles,"""N° 97 Cytherea Erycinoides Lamk (Bordeaux)""",https://sws.geonames.org/3031582/ Bordeaux,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00363,Coquille,"""N° 98 Erochus Mgus Lin (Palerme)""",https://sws.geonames.org/2523920/ Palerme,,Coquille ; Erochus --> Crochus ?,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00364,Phorus Crispus Han [spécimen manquant],"""N° 99 Phorus Crispus Han (Palerme)""",https://sws.geonames.org/2523920/ Palerme,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00365,Coquille,"""N° 100 Buccinum Prismaticum Brocohi (Valagnes)""",,Valagnes,Spécimen étiqueté 99,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25276,S-00366,Coquilles fossilisées,,,,Trois spécimens (2 staurotides - 1 coquille fossilisée),,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00367,Coquille,"""N° 60 Cerithium Subxcutum Desh (Cuitte la Motte)""",,Cuite la Motte,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00368,Coquille,"""N° 61 Soluta Ambigua Lamk (Cuite la Motte)""",,Cuite la Motte,Coquille ; Soluta --> Voluta ?,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00369,Coquilles,"""N° 62 Cyrena Gravesi Desh (Cuite la Motte)""",,Cuite la Motte,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00370,Coquille fossilisée,"""N° 63 Tercdina Personata Lamk (Cuys)""",,Cuys,Coquille fossilisée ; Tercdina --> Teredina ?,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00371,Coquilles fossilisées,"""N° 64 Nummulites Loevigata Lamk (Cuite la Motte)""",,Cuite la Motte,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00372,Coquilles,"""N° 65 Natica Sigaretina Desh (Grignon)""",,Grignon,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00373,Turritella Imbricataria Lamk [spécimen manquant],"""N° 66 Turritella Imbricataria Lamk (Chaumont)""",,Chaumont,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00374,Coquille,"""N° 67 Cerithium Serratum Lamk (Hermonville)""",https://sws.geonames.org/3013410/ Hermonville,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00375,Rostellaria Fissurella Lamk [spécimen manquant],"""N° 68 Rostellaria Fissurella Lamk (Grignon)""",,Grignon,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00376,Salutx Spinosa Lamk [spécimen manquant],"""N° 69 Salutx Spinosa Lamk (Damery)""",,Damery,[spécimen manquant] Salutx --> Voluta ?,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00377,Coquilles,"""N° 70 Cardita Imbricata Lamk (Grignon)""",,Grignon,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00378,Coquille,"""N°71 Pectunculus Lamk (Grignon)""",,Grignon,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00379,Fossile,"""N°72 Echinolampus affinis Desh (Yssy)""",,Yssy,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00380,Coquille fossilisée,"""N° 73 Sphenotrochus Crispus Ed et Haime (Barnes)""",,Barnes,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00381,Coquille + Quartz (fumé),"""N° 74 Cyclostoma Mumia Lamk (St Ouen)""",https://sws.geonames.org/2977824/ Saint-Ouen,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00382,Coquilles,"""N° 75 Sininoex Longistaca Brong (Docks Napoléon)""",,Docks Napoléon,Coquilles ; non retrouvé malgré différentes orthographes,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00383,Coquille,"""N° 76 Chemnitzia lactea D'Orb (Lisy)""",,Lisy,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00384,Coquille,"""N° 77 Cerithium Mutabile Lamk (Beauchamp)""",https://sws.geonames.org/3034369/ Beauchamp,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00385,Cerithium Tuberculosum Lamk [spécimen manquant],"""N° 78 Cerithium Tuberculosum Lamk (Rosoy)""",,Rosoy,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00386,Coquille,"""N° 79 Cerithium Bouei Desh (Lisy)""",,Lisy,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00387,Dentalium Grande Desh [spécimen manquant],"""N° 80 Dentalium Grande Desh (Acy)""",,Acy,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00388,Coquilles fossilisées,"""N° 81 Lucina saxorum Lamk (Beauchamp)""",https://sws.geonames.org/3034369/ Beauchamp,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00389,Coquilles,"""N° 82 Cytherea Nitidula Lamk (Acy)""",,Acy,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00390,Coquilles,"""N° 83 Cardium Gorculosum Lamk (Mary)""",,Mary,Coquilles cassées ; Gorculosum --> Torulosum ?,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00391,Coquilles,"""N° 84 Cardita Planicosta Desh (Acy)""",,Acy,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00392,Coquilles,"""N° 86 Cerithium plicatum Lamk (Etambes)""",,Etambes,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00393,Coquilles,"""N° 87 Cerithium Trochleare Lamk Etambes""",,Etambes,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00394,Coquille,"""N° 88 Baccinum Grossardi Nyst Etambes""",,Etambes,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00395,Coquille,"""N° 89 Cytherea Incrassata Lovv Etambes""",,Etambes,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00396,Coquilles,"""N° 90 Cardita Bazini Desh Etambes""",,Etambes,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00397,Coquilles,"""N° 91 Pectunculus Obxvatus Lamk Etambes""",,Etambes,Coquilles ; Obxvatus --> Obovatus ?,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00398,Coquille fossilisée,"""N° 31 Ammonites Plicatilis Lovv Nantua""",https://sws.geonames.org/2990932/ Nantua,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00399,Coquille fossilisée,"""N° 32 Lontacinus Pentagonialis Godjuss St Amour""",https://sws.geonames.org/2981805/ Saint-Amour,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00400,Coquille fossilisée,"""N° 33 Rynchonella Inconstans D'Orb Tounerre""",,Tounerre,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00401,Coquille fossilisée,"""N° 34 Ostrea Virgula D'Orb Tounerre""",,Tounerre,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00402,Coquille fossilisée,"""N° 35 Terebratula Subsella Leymerie Tounerre""",,Tounerre,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00403,Sanopea Neocomiensis D'Orb Bernouil [spécimen manquant],"""N° 36 Sanopea Neocomiensis D'Orb Bernouil""",https://sws.geonames.org/3033262/ Bernouil,,[spécimen manquant] Sanopea --> Panopea ?,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00404,Fossile,"""N° 37 Echinobrissus Cordijormis Brenius Bernouil""",https://sws.geonames.org/3033262/ Bernouil,,Fossile ; Cordijormis--> Condiformis ?,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00405,Fossile et quartz (Variété : fumé),"""N° 38 Holectypus Macropysus Desor Le Cloeil""",,Le Cloeil,Fossile et quartz (Var : fumé),,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00406,Coquille fossilisée,"""N° 40 Ammonites Nisus D'Orb Gargas""",,Gargas,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00407,Ammonites Dufrenoyi D'Orb Gargas [spécimen manquant],"""N° 41 Ammonites Dufrenoyi D'Orb Gargas""",,Gargas,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00408,Coquille fossilisée,"""N° 42 Plicatula Radiola Lamk Gargas""",,Gargas,Spécimen recouvert par miettes du spécimen 43,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00409,Ammonites Splendens Lovv Folkestone [spécimen manquant],"""N° 43 Ammonites Splendens Lovv Folkestone""",https://sws.geonames.org/2649258/ Folkestone,,,Spécimen complètement détruit !,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00410,Ammonites Auritus Lovv Folkestone [spécimen manquant],"""N° 44 Ammonites Auritus Lovv Folkestone""",https://sws.geonames.org/2649258/ Folkestone,,,"Spécimen potentiellement détruit, manquant ou recouvert !",,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00411,Coquilles fossilisées,"""N° 45 Ammonites Varicosus Lovv Perte du Rhône""",,Perte du Rhône,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00412,Coquille fossilisée,"""N° 46 Avellana Subincrassata D'Orb Perte du Rhône""",,Perte du Rhône,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00413,Coquille fossilisée,"""N° 47 Solarium Cirrhoide D'Orb Perte du Rhône""",,Perte du Rhône,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00414,Coquille fossilisée,"""N° 48 Inoceramus Sulcatus Parkinson Perte du Rhône""",,Perte du Rhône,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00415,Coquille fossilisée,"""N° 49 Ostrea Columba Desh Briolloy""",,Briolloy,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00416,Fossile,"""N° 50 Holaster Subglobosus Agass Neuvy Sautour""",https://sws.geonames.org/2990481/ Neuvy-Sautour,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00417,Fossile,"""N° 51 Discoidea Subuculus Leske Havre""",https://sws.geonames.org/3003796/ Le Havre,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00418,hippurites Martigues [spécimen manquant],"""N° 52 hippurites Martigues""",https://sws.geonames.org/2995387/ Martigues,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00419,Fossile,"""N° 54 Baculites Anceps Lamk Volognes""",,Volognes,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00420,Fossile,"""N° 55 Ostrea Vesicularis Lamk Epernay""",https://sws.geonames.org/3020062/ Épernay,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25276,S-00421,Coquilles fossilisées,,,,Différents morceaux (cassés ou non) + une agglomération de coquilles,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00422,Coquilles,"""N° 57 Melania Inguinata Defrance Soissous""",https://sws.geonames.org/2974389/ Soissons,,Coquilles ; Inguinata --> Inquinata ?,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00423,Coquille,"""N° 58 Cerithium Turris Desh Epernay""",https://sws.geonames.org/3020062/ Épernay,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00424,Nerita Schmidelania Chennitz [spécimen manquant],"""N° 59 Nerita Schmidelania Chennitz Cuite la Motte""",,Cuite la Motte,[spécimen manquant] ; attention l'étiquette se décolle,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00425,Calymene  Blumenbachi Brong [spécimen manquant],"""N° 1 Calymene (M. Plâtre) Blumenbachi Brong Dudley""",,Dudley,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00426,Orthocératites Grégarioides D’Orb [spécimen manquant],"""N° 2 Orthocératites Grégarioides D’Orb St Sauveur Vicompte""",https://sws.geonames.org/2977007/ Saint-Sauveur-le-Vicomte,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00427,Spiriper Verneuili Hurch [spécimen manquant],"""N° 3 Spiriper Verneuili Hurch Ferques""",https://sws.geonames.org/3018672/ Ferques,,[spécimen manquant] Spiriper --> Spirifer,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00428,Coquille fossilisée,"""N° 4 Spirigera Concentrua D’Orb Ferques""",https://sws.geonames.org/3018672/ Ferques,,Coquille fossilisée ; Concentrua --> Concentrica ?,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00429,Alvéolites Cervicornis D’Orb [spécimen manquant],"""N° 5 Alvéolites Cervicornis D’Orb les Courtoisières""",,Les Courtoisières,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00430,Fossile de plante,"""N° 84 Antimoine Stibine Chanteloube (Hte Vienne)""",https://sws.geonames.org/3026879/ Chanteloube,,Le spécimen n’est pas le bon – ne correspond pas à l’étiquette. Le specimen présent est un fossile.,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00431,Fossiles,"""N° 5 Silice Agate Oberstein (Palatinal)""",https://sws.geonames.org/2896753/ Idar-Oberstein,,2 spécimens : un corail fossilisé avec numéro 5 et moitié d’une coquille bivalve fossilisée avec numéro 8 – pas sûr que ce soit le bon numéro 5 dans la case,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00432,Coquille fossilisée,,,,Probablement l’autre moitié de la coquille bivalve n°00431,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00433,Cardinia Sublamellosa D’Orb / N° 9 Gryphaea Arcuata Lank [spécimen manquant],"""N° 8 Cardinia Sublamellosa D’Orb Beauregard / N° 9 Gryphaea Arcuata Lank St Fortunat""",,St Fortunat,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00434,Belemnites Semicanaliculat Blaine [spécimen manquant],"""N° 39 Belemnites Semicanaliculat Blaine Gangas""",,Gangas,[spécimen manquant] ; Etiquette abîmée,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00435,Ammonites Insignis Schübler [spécimen manquant],"""N° 15 Ammonites Insignis Schübler Millan""",,Millan,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00436,Morceau de fossile (une dent ? ) ou pierre arrondie,,,,"Lisse, léger comme du plastique",,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00437,Ammonites Raguinianus D’Orb [spécimen manquant],"""N° 17 Ammonites Raguinianus D’Orb Millan""",,Millan,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00438,Coquilles fossilisées,"""N° 18 Turbo Subduplicatus D’Orb St Amour""",https://sws.geonames.org/2981805/ Saint-Amour,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00439,Astarte Voltzii Goldgress [spécimen manquant],"""N° 19 Astarte Voltzii Goldgress Millan""",,Millan,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00440,Hammeri Defrance Defrance [spécimen manquant],"""N° 20 Hammeri Defrance Defrance St Amour""",https://sws.geonames.org/2981805/ Saint-Amour,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00441,Peclen Textorius Schloth [spécimen manquant],"""N° 21 Peclen Textorius Schloth St Romain""",,St Romain,[spécimen manquant] Peclen --> Pecten ?,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00442,Astarte Modiolaris Desh [spécimen manquant],"""N° 24 Astarte Modiolaris Desh Caen""",https://sws.geonames.org/3029241/ Caen,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00443,Coquille fossilisée,"""N° 25 Rynchonella Concinna D’Orb Rouville""",,Rouville,Spécimen triangulaire bouffi ,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00444,Coquille,"""N° 26 Terebratula Digona Lovv Rouville""",,Rouville,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00445,Collyrites Ovalis Desm [spécimen manquant],"""N° 27 Collyrites Ovalis Desm St Pierre des Bois""",https://sws.geonames.org/2977493/ Saint-Pierre-des-Bois,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00446,Coquille fossilisée,"""27""",,,Probablement le spécimen correspondant au n°00445,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00447,Coquilles fossilisées,"""N° Belemnites Hastatus Blaine St Amour""",https://sws.geonames.org/2981805/ Saint-Amour,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (quatrième rang)",25272,S-00448,Ammonite,"""N° 30 Ammonites Cordatus Lovv St Amour""",https://sws.geonames.org/2981805/ Saint-Amour,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00449,Basalte,"[Étiquette très difficile à lire:] ""[illisible] à Monatre""",,[illisible] à Monatre,Basalte ; massif et gris foncé,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00450,Basalte,"[Étiquette très difficile à lire:] ""Orgue d'Espaly Puy""",,Orgue d'Espaly Puy,Basalte ; cristaux d’olivine et de pyroxène visibles,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00451,Basalte,"[Étiquette très difficile à lire:] ""[illisible] Gerlun""",,[illisible] Gerlun,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00452,Basalte,"[Étiquette très difficile à lire:] ""Sommet Gerlum""",,Sommet Gerlum,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00453,Scorie,"[Étiquette très difficile à lire:] ""Orgue d'Espaly Puy""",,Orgue d'Espaly Puy,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00454,Scorie,"[Étiquette très difficile à lire:] ""Orgue d'Espaly Puy""",,Orgue d'Espaly Puy,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00455,Scorie,"[Étiquette très difficile à lire:] ""Ferme Bourlatier""",,Ferme Bourlatier,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00456,Basalte,"[Étiquette très difficile à lire:] ""Béage""",https://sws.geonames.org/3005334/ Le Béage,,Basalte vésiculaire avec xénolithes de péridotite ,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00457,Basalte,"[Étiquette très difficile à lire:] ""Béage""",https://sws.geonames.org/3005334/ Le Béage,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00458,Basalte,"[Étiquette très difficile à lire:] ""Mézilhac""",https://sws.geonames.org/2994007/ Mézilhac,,Basalte ; cristaux d'olivine visibles,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00459,Gneiss,"[Étiquette très difficile à lire:] ""St Martin""",,St Martin,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00460,Gneiss,"[Étiquette très difficile à lire:] ""Route de Lalouvesc""",,Route de Lalouvesc,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00461,Basalte,"[Étiquette très difficile à lire:] ""Ferme Bourlatier""",,Ferme Bourlatier,Basalte ; beaucoup de cristaux d'olivines et de pyroxène visibles,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00462,Tuf,"""Etiquette très difficile à lire""",,,Tuff,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00463,Basalte,"[Étiquette très difficile à lire:] ""Mézilhac""",https://sws.geonames.org/2994007/ Mézilhac,,Basalte ; massif et très sombre,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00464,Ignimbrite,"""Etiquette très difficile à lire""",,,Blanc avec stratification tres fine ; fragile,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00465,Basalte,"[Étiquette très difficile à lire:] ""Route [illisible]""",,Route [illisible],,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00466,Tuff,"[Étiquette très difficile à lire:] ""Ruisseau de l'Espaly Puy""",,Ruisseau de l'Espaly Puy,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00467,Roche volcanique,"[Étiquette très difficile à lire:] ""Ferme Bourlatier""",,Ferme Bourlatier,Roche volcanique foncée avec phénocristaux de plagioclase,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00468,Gneiss,"[Étiquette très difficile à lire:] ""R Chaylard à Mezillac""",,R Chaylard à Mézilhac,Gneiss ; très belles foliations,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00469,Roche grise,"""Etiquette très difficile à lire""",,,Veine de quartz et minéraux à reflets métalliques ; mésostase grise et foncée,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00470,Gneiss,"[Étiquette très difficile à lire:] ""R Chaylard à Mézilhac""",,R Chaylard à Mézilhac,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00471,Schiste,"""Etiquette très difficile à lire""",,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00472,Gneiss quartzo-feldpathique,"[Étiquette très difficile à lire:] ""R Chaylard à Mézilhac""",,R Chaylard à Mézilhac,"Feldspath rose (microcline), biotite et quartz",,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00473,Scorie,"[Étiquette très difficile à lire:] ""Beage [illisible]""",,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00474,Basalte,"[Étiquette très difficile à lire:] ""Ruisseau de l'Espaly Puy""",,Ruisseau de l'Espaly Puy,Basalte ; très altéré,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00475,Scorie,"[Étiquette très difficile à lire:] ""Ferme Bourlatier""",,Ferme Bourlatier,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00476,Roche volcanique,"[Étiquette très difficile à lire:] ""Route de Lalouvesc""",,Route de Lalouvesc,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00477,Basalte,"[Étiquette très difficile à lire:] ""Mézilhac""",https://sws.geonames.org/2994007/ Mézilhac,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00478,Roche volcanique,"[Étiquette très difficile à lire:] ""Route Monatre du Puy""",,Route Monatre du Puy,Roche volcanique ; peut-être Andésite-dacite,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00479,Scorie,"""Etiquette très difficile à lire""",,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00480,Basalte,"[Étiquette très difficile à lire:] ""Ruisseau de l'Espaly Puy""",,Ruisseau de l'Espaly Puy,Basalte ; vésiculé ; riche en olivines,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00481,Roche granitique,[Étiquette illisible],,,Roche granitique ; macrocristaux de feldspath (peut-être altérés ou microcline),,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00482,Roche granitique,"""Etiquette très difficile à lire""",,,Roche granitique ; finement cristallisé avec macrocristaux de feldspath,,,2021-12-15/2021-12-16
